,地区,发病数,死亡数,发病率,死亡率,年份
0,全国,49496,15,3.8077,0.0012,2004
1,北京市,8,0,0.0540,0,2004
2,天津市,13,0,0.1399,0,2004
3,河北省,1923,0,2.8283,0,2004
4,山西省,57,0,0.1720,0,2004
5,内蒙古,106,0,0.4446,0,2004
6,辽宁省,4,0,0.0096,0,2004
7,吉林省,4,0,0.0150,0,2004
8,黑龙江,17,0,0.0453,0,2004
9,上海市,15,0,0.1121,0,2004
10,江苏省,370,0,0.4889,0,2004
11,浙江省,3780,0,8.0430,0,2004
12,安徽省,744,0,1.1547,0,2004
13,福建省,685,0,1.9051,0,2004
14,江西省,1497,0,3.4948,0,2004
15,山东省,157,0,0.1712,0,2004
16,河南省,772,0,0.7965,0,2004
17,湖北省,159,0,0.2646,0,2004
18,湖南省,1010,0,1.5121,0,2004
19,广东省,4973,1,6.2520,0.0013,2004
20,广西,8605,0,17.7209,0,2004
21,海南省,125,0,1.5352,0,2004
22,重庆市,3351,0,10.7057,0,2004
23,四川省,12560,11,14.4138,0.0126,2004
24,贵州省,5583,2,14.6039,0.0052,2004
25,云南省,3,0,0.0069,0,2004
26,西藏,429,0,16.4267,0,2004
27,陕西省,1050,0,2.8703,0,2004
28,甘肃省,978,0,3.7416,0,2004
29,青海省,230,1,4.2627,0.0185,2004
30,宁夏,193,0,3.3051,0,2004
31,新疆,95,0,0.5106,0,2004
0,全    国,45672,5,3.5136,0.0004,2005
1,北京市,120,0,0.7811,0,2005
2,天津市,377,1,3.6197,0.0096,2005
3,河北省,3916,0,5.7508,0,2005
4,山西省,79,0,0.2369,0,2005
5,内蒙古,54,0,0.2274,0,2005
6,辽宁省,66,0,0.1565,0,2005
7,吉林省,30,0,0.1107,0,2005
8,黑龙江,65,0,0.1706,0,2005
9,上海市,8,0,0.0450,0,2005
10,江苏省,1028,0,1.3783,0,2005
11,浙江省,1998,0,4.0997,0,2005
12,安徽省,1097,0,1.8036,0,2005
13,福建省,477,0,1.3574,0,2005
14,江西省,1266,0,2.9597,0,2005
15,山东省,96,0,0.1044,0,2005
16,河南省,1885,1,2.0201,0.0011,2005
17,湖北省,1205,1,2.1168,0.0018,2005
